Title,Author,Edition,Reviews,Ratings,Synopsis,Genre,BookCategory
India Gray: Historical Fiction,Massey Sujata,"Paperback,– Import, 18 Nov 2015",4.5 out of 5 stars,2 customer reviews,"Travel to the Indian subcontinent with a new collection of Sujata Massey's suspenseful historical fiction. This boxed set includes four works described below:

OUTNUMBERED AT OXFORD. When Perveen Mistry leaves Bombay to study law at St. Hilda's College in 1919 Oxford, England, she hopes to escape her troubled past and become a pioneering woman lawyer. Then an elderly don tasks her with locating an Indian servant who may have stolen an invaluable mathematics proof. Perveen is caught in a case that threatens her ladylike reputation--and her life.

THE AYAH'S TALE. Menakshi Dutt, a teenaged nanny in 1920s Bengal, is a beloved caregiver of three lonely British children, but suffers from the cruelty of their bored mother. Will Menakshi ever fulfill her own dreams without betraying the children?

INDIA GRAY. Kamala Lewes, a recently-married Bengali woman, travels to Assam during World War II to volunteer at a military hospital. There she discovers some patients with ties to the Indian independence movement. How far can she go to help them without betraying her British husband and the Allies?

BITTER TEA. Shazia is fifteen and trapped in a remote village in Pakistan overtaken by religious fundamentalists. Her school has been closed, and women have lost freedom of movement. But when Shania learns a friend faces danger from the invaders, she decides to act.

Four unforgettable heroines in one book rich with history, culture and intrigue.",Short Stories (Books),Romance
Invisible Emmie,Terri Libenson,"Paperback,– Import, 4 May 2017",3.0 out of 5 stars,2 customer reviews,"This debut novel from US cartoonist Terri Libenson follows two girls who could not seem more different: shy, observant, wallflower Emmie; and loud, popular, cheery Katie. What both girls do have in common are their strong feelings for the same boy, Tyler Ross. Then Emmie's very private, very embarrassing scribbles fall into the wrong hands . . .",Comics & Mangas (Books),Comics & Mangas
"How to Start a Business Analyst Career: The handbook to apply business analysis techniques, select requirements training, and explore job roles ... career (Business Analyst Career Guide)",Laura Brandenburg,"Paperback,– 2 Jan 2015",5.0 out of 5 stars,4 customer reviews,"You may be wondering if business analysis is the right career choice, debating if you have what it takes to be successful as a business analyst, or looking for tips to maximize your business analysis opportunities. With the average salary for a business analyst in the United States reaching above $90,000 per year, more talented, experienced professionals are pursuing business analysis careers than ever before. But the path is not clear cut. No degree will guarantee you will start in a business analyst role. What's more, few junior-level business analyst jobs exist. Yet every year professionals with experience in other occupations move directly into mid-level and even senior-level business analyst roles. My promise to you is that this book will help you find your best path forward into a business analyst career. More than that, you will know exactly what to do next to expand your business analysis opportunities.","Computing, Internet & Digital Media (Books)","Computing, Internet & Digital Media"
Playfair Cricket Annual 2019,Ian Marshall,"Paperback,– 4 Apr 2019",5.0 out of 5 stars,1 customer review,"The 72nd edition of the Playfair Cricket Annual is packed with all the information you need to follow the cricket season in 2019.

As fans look forward to a bumper summer, with the Cricket World Cup and an eagerly anticipated Ashes series, cricket will rarely have had so much exposure. There are comprehensive Test match and limited-overs records and career records to help you follow the action, as well as series records against Australia. For the first time, England will also play Ireland in Test match cricket.

County cricket is covered in unrivalled depth, with biographies of all players registered to the counties at the start of the season, full coverage of last summer's events and a fixture list for all major domestic matches in 2019.

There are also sections on Ireland's cricketers, women's cricket, the major domestic T20 competitions from around the world, while the Editorial assesses the looming arrival of The Hundred in 2020.

For any cricket fan, the season is never complete without a copy of Playfair to guide you through it all.",Encyclopaedias & Reference Works (Books),Sports
The Last Mrs Parrish,Liv Constantine,"Paperback,– 30 Jan 2018",4.0 out of 5 stars,2 customer reviews,"Addictive, dark, thrilling and full of twists. You won’t want to miss this mesmerising debut from a fresh new voice in psychological suspense.
Perfect for fans of B. A. Paris, Shari Lapena and Liane Moriarty All she wants is everything you have.
How far would you go to make all your dreams come true?
Amber Patterson is tired of being a nobody: A plain, invisible woman who melts into the background. She deserves more. She deserves a life of wealth, luxury and leisure.
Daphne Parrish is the golden girl of the exclusive town of Bishops Harbor, Connecticut. With her modelesque looks, her picture-perfect mansion and her millionaire husband, Jackson, she has everything Amber has ever wanted.
Amber’s envy could eat her alive if she didn't have a plan. Gradually, Amber insinuates herself into the Parrish family’s life. Before long, she has become Daphne’s closest confidante and is catching the eye of Jackson. But a skeleton from her past could undermine everything Amber has worked for and if discovered, her well-laid plan may end in disaster.",Contemporary Fiction (Books),"Crime, Thriller & Mystery"
Problem Solving with Algorithms and Data Structures Using Python,"Bradley W. Miller, David L. Ranum","Paperback,– 28 Nov 2011",5.0 out of 5 stars,1 customer review,"THIS TEXTBOOK is about computer science. It is also about Python. However, there is much more. The study of algorithms and data structures is central to understanding what computer science is all about. Learning computer science is not unlike learning any other type of difficult subject matter. The only way to be successful is through deliberate and incremental exposure to the fundamental ideas. A beginning computer scientist needs practice so that there is a thorough understanding before continuing on to the more complex parts of the curriculum. In addition, a beginner needs to be given the opportunity to be successful and gain confidence. This textbook is designed to serve as a text for a first course on data structures and algorithms, typically taught as the second course in the computer science curriculum. Even though the second course is considered more advanced than the first course, this book assumes you are beginners at this level. You may still be struggling with some of the basic ideas and skills from a first computer science course and yet be ready to further explore the discipline and continue to practice problem solving. We cover abstract data types and data structures, writing algorithms, and solving problems. We look at a number of data structures and solve classic problems that arise. The tools and techniques that you learn here will be applied over and over as you continue your study of computer science. This textbook has three key features: A strong focus on problem solving introduces students to the fundamental data structures and algorithms by providing a very readable text without introducing an overwhelming amount of new language syntax. Algorithm analysis in terms of Big-O running time is introduced early and applied throughout. Python is used to facilitate the success of beginning students in using and mastering data structures and algorithms.",Algorithms,"Computing, Internet & Digital Media"
The Familiars,Stacey Halls,"Paperback,– 28 Feb 2019",3.9 out of 5 stars,12 customer reviews,"The most spellbinding debut novel of 2019. To save her child, she will trust a stranger. To protect a secret, she must risk her life... Fleetwood shuttle worth is 17 years old, married, and pregnant for the fourth time.But as the mistress at gaw Thorpe hall, she still has no living child, and her husband Richard is anxious for an heir. When Fleetwood finds a letter she isn't supposed to read from the doctor Who delivered her third stillbirth, she is dealt the crushing blow that she will not survive another pregnancy. Then she crosses paths by chance with Alice grab, a young midwife. Alice promises to help her give birth to a healthy baby, and to prove the physician wrong. As Alice is draw N into the witchcraft accusations that are sweeping the north-west, Fleetwood risks everything by trying to help her. But is there more to Alice than meets the eye? Soon the two women's lives will become inextricably bound together as the legendary trial at Lancaster approaches, and fleetwood's stomach continues to grow. Time is running out, and both their lives are at stake. Only they know the truth. Only they can save each other. '.",Contemporary Fiction (Books),"Crime, Thriller & Mystery"
Hal Leonard Guitar Method Book 1 Second Edition,"Will Schmid, Greg Koch","Paperback,– 1 Jan 1970",3.3 out of 5 stars,2 customer reviews,"(Guitar Method). The Hal Leonard Guitar Method is designed for anyone just learning to play acoustic or electric guitar. It is based on years of teaching guitar students of all ages, and it also reflects some of the best guitar teaching ideas from around the world. Book 1 includes tuning; playing position; musical symbols; notes in first position; C, G, G7, D, D7, A7, and Em chords; rhythms through eighth notes; strumming and picking; over 80 great songs, riffs, and examples.",Music Books,"Arts, Film & Photography"
Democracy on the Road: A 25 Year Journey through India,Ruchir Sharma,"Hardcover,– 28 Jan 2019",3.8 out of 5 stars,74 customer reviews,"On the eve of a landmark general election, Ruchir Sharma offers an unrivalled portrait of how India and its democracy work, drawn from his two decades on the road chasing election campaigns across every major state, travelling the equivalent of a lap around the earth. Democracy on the Road takes readers on a rollicking ride with Ruchir and his merry band of fellow writers as they talk to farmers, shopkeepers and CEOs from Rajasthan to Tamil Nadu, and interview leaders from Narendra Modi to Rahul Gandhi.
No book has traced the arc of modern India by taking readers so close to the action. Offering an intimate view inside the lives and minds of India's political giants and its people, Sharma explains how the complex forces of family, caste and community, economics and development, money and corruption, Bollywood and Godmen, have conspired to elect and topple Indian leaders since Indira Gandhi. The ultimately encouraging message of Ruchir's travels is that, while democracy is retreating in many parts of the world, it is thriving in India.",Political Ideologies (Books),"Language, Linguistics & Writing"
"Microservice Architecture: Aligning Principles, Practices, and Culture",Irakli Nadareishvili,"Paperback,– 2016",3.9 out of 5 stars,9 customer reviews,"Microservices can have a positive impact on your enterpriseójust ask Amazon and Netflixóbut you can fall into many traps if you donít approach them in the right way. This practical guide covers the entire microservices landscape, including the principles, technologies and methodologies of this unique, modular style of system building. Youíll learn about the experiences of organizations around the globe that have successfully adopted microservices.
In three parts, this book explains how these services work and what it means to build an application the Microservices Way. Youíll explore a design-based approach to microservice architecture with guidance for implementing various elements. And youíll get a set of recipes and practices for meeting practical, organizational and cultural challenges to microservice adoption.

Learn how microservices can help you drive business objectives
Examine the principles, practices and culture that define microservice architectures
Explore a model for creating complex systems and a design process for building a microservice architecture
Learn the fundamental design concepts for individual microservices
Delve into the operational elements of a microservices architecture, including containers and service discovery
Discover how to handle the challenges of introducing microservice architecture in your organization",Introductory & Beginning Programming,"Computing, Internet & Digital Media"
"Tokyo Ghoul, Vol. 3",Sui Ishida,"Paperback,– 20 Oct 2015",4.4 out of 5 stars,12 customer reviews,"Ghouls live among us, the same as normal people in every way—except their craving for human flesh. Ken Kaneki is an ordinary college student until a violent encounter turns him into the first half-human half-ghoul hybrid. Trapped between two worlds, he must survive Ghoul turf wars, learn more about Ghoul society and master his new powers.

Kaneki is still trying to get used to his new life when Commission of Counter Ghoul agents Mado and Amon start sniffing around for Hinami. Kaneki and Touka are going to have to get them off her tail and fast. No easy task now that Kaneki’s got to bring humans and Ghouls to a rapid truce at the same time.",Mangas,Comics & Mangas
Fall of Giants (The Century Trilogy),Ken Follett,"Paperback,– 3 Jun 2011",4.5 out of 5 stars,49 customer reviews,"The first in Ken Follett's bestselling Century Trilogy, Fall of Giants is a huge novel that follows five families through the world-shaking dramas of the First World War, the Russian Revolution, and the struggle for votes for women. It is 1911. The Coronation Day of King George V. The Williams, a Welsh coal-mining family, is linked by romance and enmity to the Fitzherberts, aristocratic coal-mine owners. Lady Maud Fitzherbert falls in love with Walter von Ulrich, a spy at the German Embassy in London. Their destiny is entangled with that of an ambitious young aide to U.S. President Woodrow Wilson and with two orphaned Russian brothers, whose plans to emigrate to America fall foul of war, conscription and revolution. In a plot of unfolding drama and intriguing complexity, Fall of Giants moves seamlessly from Washington to St Petersburg, from the dirt and danger of a coal mine to the glittering chandeliers of a palace, from the corridors of power to the bedrooms of the mighty.",Action & Adventure (Books),"Crime, Thriller & Mystery"
"Twenty Years' Crisis, 1919-1939",Edward H. Carr,"Paperback,– 25 Mar 1964",5.0 out of 5 stars,1 customer review,"E. H. Carr's classic work on international relations published in 1939 was immediately recognized by friend and foe alike as a defining work. The author was one of the most influential and controversial intellectuals of the 20th century. The issues and themes he developed continue to have relevance to modern day concerns with power and its distribution in the international system. Michael Cox's critical introduction provides the reader with background information about the author, the context for the book, and its main themes and contemporary relevance.",Sports (Books),Sports
The Max Muscle Plan,Brad Schoenfeld,"Paperback,– 19 Sep 2012",4.6 out of 5 stars,3 customer reviews,"This title helps you build the body you've always wanted. Widely regarded as one of America's leading strength and fitness professionals, Brad Schoenfeld has won numerous natural bodybuilding titles and has been published or featured in virtually every major fitness magazine. Now the 2011 NSCA Personal Trainer of the Year and best-selling author brings his expertise to a resource that has everything needed for completing a total-body transformation in just six months. The ""MAX Muscle Plan"" is packed with over 100 exercises and more than 200 photographs that demonstrate the exercises and revolutionary muscle building programme. Every exercise, every set, every repetition is mapped out for ease of implementation. The programme is complemented by cardio guidelines and nutrition recommendations based on the latest scientific research.",Healthy Living & Wellness (Books),Sports
Death Cloud (Young Sherlock Holmes),Andrew Lane,"Paperback,– 19 Jun 2014",5.0 out of 5 stars,3 customer reviews,"The year is 1868, and Sherlock Holmes is fourteen. His life is that of a perfectly ordinary army officer’s son: boarding school, good manners, a classical education – the backbone of the British Empire. But all that is about to change. With his father suddenly posted to India, and his mother mysteriously ‘unwell’, Sherlock is sent to stay with his eccentric uncle and aunt in their vast house in Hampshire. So begins a summer that leads Sherlock to uncover his first murder, a kidnap, corruption and a brilliantly sinister villain of exquisitely malign intent . . . Death Cloud is the first in a series of novels in which the iconic detective is reimagined as a brilliant, troubled and engaging teenager – creating unputdownable detective adventures that remain true to the spirit of the original books.",Action & Adventure (Books),Action & Adventure
You: Now a Major Netflix series,Caroline Kepnes,"Paperback,– Import, 27 Dec 2018",3.9 out of 5 stars,21 customer reviews,"*** NOW A MAJOR NETFLIX SERIES *** 'Thriller of the Year' Daily Mail 'Hypnotic and scary' Stephen King 'Examines the fine line between seduction and stalking . . . Ludicrously readable' Guardian When aspiring writer Guinevere Beck strides into the bookstore where Joe works, he is instantly smitten. But there's more to Joe than Beck realises and much more to Beck than her perfect facade. And the obsessive relationship quickly spirals into a whirlwind of deadly consequences... A chilling account of unrelenting, terrifying deceit, Caroline Kepnes' You is a thriller more perversely clever and dangerously twisted than any YOU have ever read. 'I am RIVETED, AGHAST, AROUSED, you name it. The rare instance when prose and plot are equally delicious' Lena Dunham `Brilliant thriller with attitude, guts and true insight into the nature of obsession' Sophie Hannah 'A fantastically creepy thriller... The kind of book you put your life on hold for' Glamour 'Clever and chilling' Elle 'A brilliant tale... It's Gone Girl meets a sinister version of Girls' Marie Claire 'An addictive thriller!' Closer","Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery"
The Boys In The Boat: An Epic Journey to the Heart of Hitler's Berlin,Daniel James Brown,"Paperback,– 2 Jan 2014",4.4 out of 5 stars,27 customer reviews,"Shortlisted for the William Hill Sports Book of the Year, this is the bestselling story about a rowing team's quest for Olympic gold in Nazi Germany. Cast aside by his family at an early age, abandoned and left to fend for himself in the woods of Washington State, young Joe Rantz turns to rowing as a way of escaping his past. What follows is an extraordinary journey, as Joe and eight other working-class boys exchange the sweat and dust of life in 1930s America for the promise of glory at the heart of Hitler’s Berlin. Stroke by stroke, a remarkable young man strives to regain his shattered self-regard, to dare again to trust in others – and to find his way back home. Told against the backdrop of the Great Depression, Daniel James Brown's The Boys in the Boat is narrative non-fiction of the first order; a personal story full of lyricism and unexpected beauty that rises above the grand sweep of history, and captures instead the purest essence of what it means to be alive. ‘I really can't rave enough about this book . . . I read the last fifty pages with white knuckles, and the last twenty-five with tears in my eyes’ David Laskin, author of The Children's Blizzard and The Long Way Home",Sporting Events & Organisations (Books),Sports
The Big Four (Poirot),Agatha Christie,"Paperback,– 30 Oct 2017",4.0 out of 5 stars,29 customer reviews,"A ruthless international cartel seeks world domination…

Framed in the doorway of Poirot’s bedroom stood an uninvited guest, coated from head to foot in dust. The man’s gaunt face stared for a moment, then he swayed and fell.

Who was he? Was he suffering from shock or just exhaustion? Above all, what was the significance of the figure 4, scribbled over and over again on a sheet of paper? Poirot finds himself plunged into a world of international intrigue, risking his life to uncover the truth about ‘Number Four’.","Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery"
Lonely Planet Malay Phrasebook & Dictionary,Lonely Planet,"Paperback,– 7 Mar 2014",5.0 out of 5 stars,1 customer review,"Lonely Planet: The world's leading travel guide publisher With Lonely Planet's Malay Phrasebook, let no barriers - language or culture - get in your way. Grab this phrasebook and try Malaysia's amazing street food, soak up sun and sand at Palau Langkawi or Palau Tioman, or trek to the summit of Mt Kinabalu, Malaysia's tallest peak. Our phrasebooks give you a comprehensive mix of practical and social words and phrases in more than 120 languages. Chat with the locals and discover their culture& - a guaranteed way to enrich your travel experience. Order the right meal with our menu decoder Never get stuck for words with our 3500-word two-way dictionary We make language easy with shortcuts, key phrases & common Q&As Feel at ease, with essential tips on culture & manners Coverage includes: Basic language tools such as pronunciation; phrases for getting out and about, being social, food, safe travel, sustainable travel, and more; and two dictionaries Authors: Written and researched by Lonely Planet and Susan Keeney. About Lonely Planet: Started in 1973, Lonely Planet has become the world's leading travel guide publisher with guidebooks to every destination on the planet, as well as an award-winning website, a suite of mobile and digital travel products, and a dedicated traveller community. Lonely Planet's mission is to enable curious travellers to experience the world and to truly get to the heart of the places they find themselves in. TripAdvisor Travelers' Choice Awards 2012 and 2013 winner in Favorite Travel Guide category 'Lonely Planet guides are, quite simply, like no other.' -The New York Times 'Lonely Planet. It's on everyone's bookshelves; it's in every traveller's hands. It's on mobile phones. It's on the Internet. It's everywhere, and it's telling entire generations of people how to travel the world.' -Fairfax Media (Australia)",Translation Reference,"Language, Linguistics & Writing"
Batman: Knightfall Vol. 1,Doug Moench,"Paperback,– 1 May 2012",5.0 out of 5 stars,16 customer reviews,"#1 New York Times Bestseller

The villainous Bane breaks the Bat in one of the most popular and well-known Batman tales! The inmates of Arkham Asylum have broken free and Batman must push himself to the limits to re-apprehend the Joker, Poison Ivy, the Riddler, Killer Croc and more. Pushed to the limits, he comes face-to-face against the monstrosity known as Bane, who delivers a crippling blow destined to change the Caped Crusader forever!

This volume collects Batman: Vengeance of Bane Special #1, Batman #491-500, Detective Comics #659-666, Showcase '93 #7-8 and Batman: Shadow of the Bat #16-18.","Fantasy, Science Fiction & Horror (Books)",Comics & Mangas
Asterix and Son,Albert Uderzo,"Paperback,– 20 Mar 2003",5.0 out of 5 stars,5 customer reviews,"Who can have dumped a baby boy in a basket outside Asterix's hut? Child-care is something new to Asterix and Obelix, not to mention Crismus Cactus, Prefect of Gaul, masquerading as a Gaulish nursemaid. Why are the Romans after the baby - and just what plot is the treacherous Brutus hatching against Julius Caesar? Find out the answers inside.",Mangas,Comics & Mangas
A Dictionary of Science (Oxford Quick Reference),Jonathan Law,"Paperback,– 23 Mar 2017",4.7 out of 5 stars,21 customer reviews,"This bestselling dictionary contains more than 9,500 entries on all aspects of chemistry, physics, biology (including human biology), earth sciences, computer science, and astronomy. This fully revised edition includes hundreds of new entries, such as bone morphogenetic protein, Convention on Biological Diversity, genome editing, Ice Cube experiment, multi-core processor, PhyloCode, quarkonium, and World Wide Telescope, bringing it fully up to date in areas such as nanotechnology, quantum physics, molecular biology, genomics, and the science of climate change. Supported by more than 200 diagrams and illustrations the dictionary features recommended web links for many entries, accessed and kept up-to-date via the Dictionary of Science companion website.

Other features include short biographies of leading scientists, full page illustrated features on subjects such as the Solar System and Genetically Modified Organisms, and chronologies of specific scientific subjects including plastics, electronics, and cell biology.

With concise entries on an extensive list of topics, this dictionary is both an ideal reference work for students and a great introduction for non-scientists.",Astronomy & Astrophysics,"Computing, Internet & Digital Media"
How the Body Works: The Facts Simply Explained (Dk Knowledge),DK,"Hardcover,– 2 May 2016",4.5 out of 5 stars,2 customer reviews,"How The Body Works is a fascinating exploration of the weird and wonderful processes that occur within the human body, often without us knowing. Understand how our bodies keep us alive and thriving and get to the bottom of such niggling questions as why we get dizzy, why we get butterflies in our stomachs, and why we get jetlag!
How The Body Works is a bold and accessible visual guide to every aspect of how the human body and brain works, combining the science of human anatomy books with beautiful images. Enjoy this enlightening resource that covers everything from skin to bone and even the psychology of dreams and emotions.",Anatomy & Physiology,Action & Adventure
The Siege: The Attack on the Taj,Adrian Levy,"Paperback,– 25 Oct 2015",4.4 out of 5 stars,98 customer reviews,"On 26 November 2008, four terrorists entered the Taj, Mumbai, and took over the hotel. What followed was nearly three days of terror as the world watched the great hotel go up in flames. Now comes the ultimate account of that attack. Telling the stories of guests, staff, police and the National Security guard, and piecing together transcripts of calls between the terrorists and their handlers, The Siege takes you right into the war zone, showing you what it was like to be in the Taj on those fateful days.
Here are the heart-stopping stories of guests and staff—of a couple about to celebrate their wedding, a British-Cypriot shipping magnate whose state-of-the-art yacht is docked in front of the hotel, and a young Taj employee who survives because of a stranger’s phone call. Here too are revelations about the training of the terrorists, Headley’s double game and the shocking incompetence of the Indian security forces. Terrifying, gripping and deeply moving, The Siege is unputdownable.
‘Levy and Scott-Clark . . . bring to the table almost forensic investigative skills, and a robust reputation for ferreting out the forgotten secrets of our time’ Caravan.","Biographies, Diaries & True Accounts (Books)","Biographies, Diaries & True Accounts"
Minecraft: The Island (Official Minecraft Novel 1),Max Brooks,"Paperback,– 11 Oct 2018",4.4 out of 5 stars,8 customer reviews,"The first official Minecraft novel by bestselling author, Max Brooks A Sunday Times Bestseller A New York Times Bestseller be immersed in the Minecraft universe for the first time in a thrilling new adventure like no other! Minecraft: the Island will tell the story of a new hero stranded in the world of Minecraft, who must survive the harsh, unfamiliar environment and unravel the secrets of the island. Washed up on a beach, the lone castaway looks around the shore. Where am I? Who am I? And why is everything made of blocks? But there isn’t much time to soak up the sun. It’s getting dark and there’s a strange new world to explore! the top priority is finding food. The next is not becoming food. Because there are others out there on the island like the horde of zombies that appear after night falls. Crafting a way out of this mess is a challenge like no other. Who could build a home while running from exploding creepers, armed skeletons and an unstoppable tide of hot lava? Especially with no help except for a few makeshift tools and sage advice from an unlikely friend: a cow. In this world, the rules don’t always make sense, but courage and creativity go a long way. There are forests to explore, hidden underground tunnels to loot and undead mobs to defeat. Only then will the secrets of the island be revealed. Minecraft: the Crash, by Tracey Baptiste, is the second official Minecraft novel. It will be released in the UK on July 12.",Action & Adventure (Books),Action & Adventure
Start Calligraphy: The Right Way to Write,Jon Gibbs,"Paperback,– 1 Apr 2019",3.7 out of 5 stars,121 customer reviews,"Calligraphy is the art and craft of beautiful writing and lettering. It can be stimulating, rewarding, frustrating and satisfying, sometimes all at the same time! As with all activities, starting right is essential to progress and to attain real satisfaction. Whether you produce traditional or avant-garde, elaborate or simple pieces of work, all make great gifts for friends and family.",Writing Guides (Books),"Arts, Film & Photography"
"The Art of Animal Drawing: Construction, Action, Analysis, Caricature (Dover Art Instruction)",Ken Hultgen,"Paperback,– 9 Feb 1993",5.0 out of 5 stars,9 customer reviews,"""You'll learn everything there is to learn about drawing animals."" — Collectors' Corner
This thoughtful and incisive guidebook, written by a former animator for Walt Disney Studios, will help artists at many skill levels improve their ability to draw a wide variety of animal forms both realistically and as caricatures.
You'll learn why the author considers construction, action analysis, and caricature all-important for a clear understanding of animal anatomy and movement. You'll also benefit from Mr. Hultgren's expert
advice and tips on catching the essential movement and character of animals and avoiding the stiff, wooden poses that are the frequent and unfortunate result of much sketching of animals from life. Throughout, the emphasis is on construction drawings (there are over 700 line illustrations and halftones) rather than on text. This means the student is able to view the development process of the drawing by example rather than theory or description.
The book begins with introductory chapters on the special techniques of drawing animals, the use of line, establishing mood and feeling, conveying action, and brush techniques. Mr. Hultgren then turns to individual animal forms — horses, deer, cats, cows and bulls, giraffes, camels, gorillas, pigs, and many more. His instruction on animal caricature will be especially valuable to the legions of artists avidly interested in the subject.
The Art of Animal Drawing belongs in the library of any artist — student, amateur, or professional — who is interested in drawing animals.","Handicrafts, Decorative Arts & Crafts (Books)","Arts, Film & Photography"
The TB12 Method: How to Achieve a Lifetime of Sustained Peak Performance,Tom Brady,"Hardcover,– 10 Oct 2017",3.0 out of 5 stars,2 customer reviews,"The first book by New England Patriots quarterback Tom Brady—the five-time Super Bowl champion who is still reaching unimaginable heights of excellence at forty years old—a gorgeously illustrated and deeply practical “athlete’s bible” that reveals Brady’s revolutionary approach to sustained peak performance for athletes of all kinds and all ages.
In modern sports, some athletes have managed to transcend their competition in a way that no one will ever forget: Jordan. Jeter. Ali. Williams. These elite legends have changed the game, achieved the unthinkable and pushed their bodies to unbelievable limits. Joining their exclusive ranks is Tom Brady.
“Brady is the healthiest great champion the NFL has ever had, both physically and mentally” (Sally Jenkins, The Washington Post). The longtime New England Patriots quarterback, who in 2017 achieved his fifth Super Bowl win and fourth Super Bowl MVP award, is widely regarded as an athlete whose training and determination pushed him from a mediocre draft position to the most-revered and respected professional football player of his generation.
In The TB12 Method, Tom Brady explains how he developed his groundbreaking approach to long-term fitness, presenting a comprehensive, step-by-step guide to his personal practice. Brady offers the principles behind pliability, which is at the heart of a new paradigm shift and movement toward a more natural, healthier way of exercising, training and living—and one that challenges some commonly held assumptions around health and wellness. Filled with lessons learned from Brady’s own peak performance training and step-by-step action steps to help readers develop and maintain their own peak performance, The TB12 Method also advocates for more effective approaches to strength training, hydration, nutrition, supplementation, cognitive fitness, recovery and other lifestyle choices that dramatically decrease the risk of injury while amplifying and extending performance, as well as quality of life.
After using his methods for over a decade, Brady believes that the TB12 approach has made him—and can make any athlete, male or female, in any sport and at any level—achieve their own peak performance. With instructions, drills, photos, in-depth case studies that Brady himself has used, as well as personal anecdotes and experiences from on and off the field, The TB12 Method is the only book an athlete will ever need, a playbook from Brady himself that will change the game.",Healthy Living & Wellness (Books),Sports
Under the Dome,Stephen King,"Paperback,– 8 Jul 2010",4.8 out of 5 stars,7 customer reviews,"Adapted as a major TV series, produced by Steven Spielberg, King's bestselling novel centres on a small town suddenly and inexplicably sealed off from the rest of the world by an invisible dome.
In UNDER THE DOME, King has produced another riveting masterpiece. The end of every chapter hooks you into the next, drawing you inside a psychological drama that is so rich, you don't read it, you live it.
It is the story of the small town of Chester's Mill, Maine which is inexplicably and suddenly sealed off from the rest of the world by an invisible force field. No one can get in and no one can get out.
The normal rules of society are suddenly changed and when food, electricity and water run short, the community begins to crumble. As a new and more sinister social order develops, Dale Barbara, Iraq veteran, teams up with a handful of intrepid citizens to fight against the corruption that is sweeping through the town and to try to discover the source of the Dome before it is too late . . .",Action & Adventure (Books),Action & Adventure
Fifty Shades Darker (Film Tie-In),E.L. James,"Paperback,– 1 Feb 2017",4.2 out of 5 stars,142 customer reviews,"More than 150 million copies sold worldwide

Daunted by the dark secrets of the tormented young entrepreneur Christian Grey, Ana Steele has broken off their relationship to start a new career with a US publishing house.
But desire for Grey still dominates her every waking thought and when he proposes a new arrangement, she cannot resist. Soon she is learning more about the harrowing past of her damaged, driven and demanding Fifty Shades than she ever thought possible.

But while Grey wrestles with his inner demons, Ana must make the most important decision of her life. And it's a decision she can only make on her own ..",Romance (Books),Romance
Dragonball Z 11,Akira Toriyama,"Paperback,– 7 May 2003",4.8 out of 5 stars,7 customer reviews,"With an entire planet for their battleground, Goku and Freeza continue their showdown to see who's strongest in the universe! But Goku's determination turns to horror as he realizes that his enemy has just been toying with him...and at just 50% of his full power, Freeza is more than strong enough to beat Goku! Gohan, Piccolo and Kuririn distract Freeza while Goku powers up for a gigantic genki-dama--the last-ditch ""energy sphere"" technique. Soon, the heroes have no choice but to hope for a miracle...",Mangas,Comics & Mangas
SQL the One: Microsoft SQL Server Interview Guide,Uday Arumilli,"Paperback,– Import, 16 Dec 2016",4.5 out of 5 stars,50 customer reviews,"Congratulations! You are going to WIN your next SQL Server interview. ""SQL The One"" book can guide you to achieve the success in your next interview. This book covers Microsoft SQL Server interview experiences, questions and answers for a range of SQL DBA's and SQL Server Professionals. All of these questions have been collected from the people who attended interviews at various multinational companies across the world. It also covers ""How to prepare for a SQL DBA interview?"" and ""How to become an expert in your career?""
Salient Features of Book
- All interview questions are asked in various MNC
- Covers 1090 real time questions and answers
- 254 questions on SQL Server Performance Tuning
- Covers all SQL Server HA & DR features
- 316 questions on SQL Server HA & DR features
- Lots of scenario based questions
- Covers SQL Server 2005, 2008, 2008 R2, 2012, 2014 and 2016
- Questions are categorized
- In-depth explanations
- An Interview Experience with Microsoft
Useful as a reference guide for SQL DBA Interview preparation",Computer Databases (Books),"Computing, Internet & Digital Media"
Justice League Vol. 1: Origin (The New 52),Geoff Johns,"Paperback,– 5 Feb 2013",4.8 out of 5 stars,24 customer reviews,"A NEW YORK TIMES BESTSELLER

In a world where inexperienced superheroes operate under a cloud of suspicion from the public, loner vigilante Batman has stumbled upon a dark evil that threatens to destroy the earth as we know it. Now, faced with a threat far beyond anything he can handle on his own, the Dark Knight must trust an alien, a scarlet speedster, an accidental teenage hero, a space cop, an Amazon Princess and an undersea monarch. Will this combination of Superman, The Flash, Cyborg, Green Lantern, Wonder Woman and Aquaman be able to put aside their differences and come together to save the world? Or will they destroy each other first?
As a part of the monumental DC Comics' The New 52 event, comics superstars Geoff Johns and Jim Lee bring you an all-new origin story for the Justice League! This powerhouse creative team re-imagines the classic heroes of the DC Universe for the 21st century. This volume collects issues #1-6 of Justice League.
This indelible recasting of the World’s Greatest Heroes has only grown in stature as the years have worn on, with fans everywhere gaining a greater and greater appreciation for this masterwork in the genre. Justice League Vol. 1: Origin has come to be emblematic of the word “Essential”.",Comics & Mangas (Books),Comics & Mangas
